iter	Logloss
0	0.6808171483
1	0.6691722588
2	0.6584008166
3	0.6471492716
4	0.6366530425
5	0.6266915557
6	0.6180693472
7	0.6098726942
8	0.6016691391
9	0.5947286675
10	0.588220875
11	0.5824481026
12	0.5768713353
13	0.571218226
14	0.5660685077
15	0.5616406626
16	0.5573076318
17	0.5526521329
18	0.5484733936
19	0.5448401758
20	0.5412398338
21	0.5378234699
22	0.5341261612
23	0.5308991636
24	0.5279207854
25	0.5253306656
26	0.5224288678
27	0.5196140723
28	0.5171545407
29	0.5148376714
30	0.5126128084
31	0.5102309661
32	0.5086395451
33	0.5067698814
34	0.5045587285
35	0.5025980556
36	0.5007254019
37	0.4989199785
38	0.4972460689
39	0.4953922377
40	0.4940921263
41	0.4924543782
42	0.4913021346
43	0.4903238643
44	0.4888077673
45	0.487303751
46	0.4858503702
47	0.4844266338
48	0.4831954019
49	0.4818689259
50	0.4805233029
51	0.4793160309
52	0.4782969553
53	0.4772074964
54	0.4761795813
55	0.4752897225
56	0.4743887065
57	0.4734619678
58	0.4725547608
59	0.4715866681
60	0.4707206522
61	0.4699702371
62	0.469016038
63	0.4680791518
64	0.4672101463
65	0.4663176862
66	0.4654615163
67	0.4647946395
68	0.4640149571
69	0.4629685702
70	0.462307188
71	0.4617543777
72	0.4612522598
73	0.4600844907
74	0.4595547995
75	0.45863406
76	0.4581108347
77	0.4573172627
78	0.4567864152
79	0.456201871
80	0.4554158778
81	0.4549595588
82	0.4543705136
83	0.4538411847
84	0.453408588
85	0.4528595147
86	0.4518259353
87	0.4513693144
88	0.4510071753
89	0.4505643615
90	0.4501718011
91	0.4494962773
92	0.4488894448
93	0.4484130988
94	0.4479545287
95	0.4474952023
96	0.446854543
97	0.4464676183
98	0.4457826341
99	0.4453097129
100	0.4447980885
101	0.4443800821
102	0.4439427013
103	0.4435956392
104	0.4431938645
105	0.4427652502
106	0.4422737469
107	0.4419868225
108	0.4415862597
109	0.4412372789
110	0.4408104816
111	0.4401621841
112	0.4397898677
113	0.4394146718
114	0.4391240522
115	0.4389317944
116	0.4386128136
117	0.4381480152
118	0.4377858357
119	0.4374224175
120	0.4368145245
121	0.4366324762
122	0.436078501
123	0.4358772382
124	0.4355470323
125	0.4351127933
126	0.4347291698
127	0.4342189748
128	0.4339562611
129	0.4337700056
